timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670677339839,68,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-13,text,false,Test failed: code expected to contain /200/,823,212,15,15,http://localhost:3000/posts/:NF,68,0,0
1670677339853,56,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-20,text,true,,191,123,14,14,http://localhost:3000/posts/,56,0,0
1670677339851,60,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-19,text,true,,191,123,14,14,http://localhost:3000/posts/,60,0,0
1670677339835,80,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-15,text,false,Test failed: code expected to contain /200/,823,212,14,14,http://localhost:3000/posts/:NF,80,0,0
1670677339847,77,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-12,text,false,Test failed: code expected to contain /200/,823,212,13,13,http://localhost:3000/posts/:NF,77,0,0
1670677339795,133,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-18,text,false,Test failed: code expected to contain /200/,985,231,12,12,http://localhost:3000/posts/,133,0,0
1670677339863,69,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-7,text,false,Test failed: code expected to contain /200/,823,211,12,12,http://localhost:3000/posts/:NF,69,0,0
1670677339799,136,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-17,text,false,Test failed: code expected to contain /200/,985,231,12,12,http://localhost:3000/posts/,136,0,0
1670677339894,43,SimpleBlg_02_health_check,200,OK,Thread Group 1-21,text,true,,165,129,12,12,http://localhost:3000/health_check,43,0,0
1670677339869,81,SimpleBlg_01_GET,200,OK,Thread Group 1-22,text,true,,190,117,12,12,http://localhost:3000/,81,0,3
1670677339905,50,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-16,text,false,Test failed: code expected to contain /200/,823,211,12,12,http://localhost:3000/posts/:NF,50,0,0
1670677339902,56,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-10,text,false,Test failed: code expected to contain /200/,823,211,12,12,http://localhost:3000/posts/:NF,56,0,0
1670677339899,67,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-4,text,false,Test failed: code expected to contain /200/,823,212,12,12,http://localhost:3000/posts/:NF,67,0,0
1670677339886,94,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-14,text,false,Test failed: code expected to contain /200/,823,212,12,12,http://localhost:3000/posts/:NF,93,0,0
1670677339896,83,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-11,text,false,Test failed: code expected to contain /200/,823,211,12,12,http://localhost:3000/posts/:NF,83,0,0
1670677339936,53,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-17,text,false,Test failed: code expected to contain /200/,823,211,11,11,http://localhost:3000/posts/:NF,53,0,0
1670677339932,60,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-7,text,false,Test failed: code expected to contain /200/,823,212,11,11,http://localhost:3000/posts/:NF,60,0,0
1670677339938,55,SimpleBlg_03_GetPosts,200,OK,Thread Group 1-21,text,true,,191,123,11,11,http://localhost:3000/posts/,55,0,0
1670677339929,70,SimpleBlg_05_patch,500,Internal Server Error,Thread Group 1-18,text,false,Test failed: code expected to contain /200/,823,211,10,10,http://localhost:3000/posts/:NF,70,0,0
1670677339951,50,SimpleBlg_02_health_check,200,OK,Thread Group 1-22,text,true,,165,129,10,10,http://localhost:3000/health_check,50,0,0
1670677339959,49,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-10,text,false,Test failed: code expected to contain /200/,823,212,10,10,http://localhost:3000/posts/:NF,49,0,0
1670677339955,58,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-16,text,false,Test failed: code expected to contain /200/,823,212,9,9,http://localhost:3000/posts/:NF,58,0,0
1670677339910,108,SimpleBlg_04_posts,500,Internal Server Error,Thread Group 1-20,text,false,Test failed: code expected to contain /200/,985,231,8,8,http://localhost:3000/posts/,108,0,0
1670677339981,46,SimpleBlg_01_GET,200,OK,Thread Group 1-23,text,true,,190,117,8,8,http://localhost:3000/,46,0,2
1670677339990,40,SimpleBlg_05_delete,500,Internal Server Error,Thread Group 1-17,text,false,Test failed: code expected to contain /200/,823,212,8,8,http://localhost:3000/posts/:NF,40,0,0
